 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          14         7.508982         1          1          1          2          4          5.2631579        9.9999994        0.45             0.001            1.0204082e-05    0.010204082     
 1          14         7.508982         1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          14         7.508982         1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          14         7.508982         1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          14         7.508982         1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          14         7.508982         1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          14         7.508982         1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          15         8.2675692        1          1          1          2          1          5.2331631        9.4411562        0.44684758       0.001            1.0250877e-05    0.010250877     
 1          15         8.2675692        1          1          1          2          2          5.2626926        9.9913357        0.44995137       0.001            1.0204803e-05    0.010204803     
 1          15         8.2675692        1          1          1          2          3          5.2631528        9.9999044        0.44999946       0.001            1.020409e-05     0.01020409      
 1          15         8.2675692        1          1          1          2          4          5.2631578        9.9999992        0.45             0.001            1.0204082e-05    0.010204082     
 1          15         8.2675692        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          15         8.2675692        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          15         8.2675692        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          15         8.2675692        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          15         8.2675692        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          15         8.2675692        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          16         9.0640857        1          1          1          2          1          5.2304118        9.3898629        0.44655661       0.001            1.0255197e-05    0.010255197     
 1          16         9.0640857        1          1          1          2          2          5.2626033        9.9896742        0.44994204       0.001            1.0204942e-05    0.010204942     
 1          16         9.0640857        1          1          1          2          3          5.2631512        9.999876         0.4499993        0.001            1.0204092e-05    0.010204092     
 1          16         9.0640857        1          1          1          2          4          5.2631578        9.9999988        0.44999999       0.001            1.0204082e-05    0.010204082     
 1          16         9.0640857        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          16         9.0640857        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          16         9.0640857        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          16         9.0640857        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          16         9.0640857        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          16         9.0640857        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          17         9.9004281        1          1          1          2          1          5.227548         9.3364681        0.44625342       0.001            1.0259698e-05    0.010259698     
 1          17         9.9004281        1          1          1          2          2          5.2625018        9.9877827        0.44993143       0.001            1.0205099e-05    0.010205099     
 1          17         9.9004281        1          1          1          2          3          5.2631493        9.9998407        0.44999911       0.001            1.0204095e-05    0.010204095     
 1          17         9.9004281        1          1          1          2          4          5.2631578        9.9999984        0.44999999       0.001            1.0204082e-05    0.010204082     
 1          17         9.9004281        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          17         9.9004281        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          17         9.9004281        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          17         9.9004281        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          17         9.9004281        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          17         9.9004281        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          18         10.778588        1          1          1          2          1          5.2245686        9.2809092        0.44593763       0.001            1.0264387e-05    0.010264387     
 1          18         10.778588        1          1          1          2          2          5.2623865        9.9856372        0.44991938       0.001            1.0205278e-05    0.010205278     
 1          18         10.778588        1          1          1          2          3          5.263147         9.9997974        0.44999886       0.001            1.0204099e-05    0.010204099     
 1          18         10.778588        1          1          1          2          4          5.2631578        9.9999977        0.44999999       0.001            1.0204082e-05    0.010204082     
 1          18         10.778588        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          18         10.778588        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          18         10.778588        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          18         10.778588        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          18         10.778588        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          18         10.778588        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          19         11.700655        1          1          1          2          1          5.2214701        9.2231238        0.44560884       0.001            1.0269269e-05    0.010269269     
 1          19         11.700655        1          1          1          2          2          5.2622563        9.9832116        0.44990577       0.001            1.020548e-05     0.01020548      
 1          19         11.700655        1          1          1          2          3          5.2631442        9.9997443        0.44999856       0.001            1.0204103e-05    0.010204103     
 1          19         11.700655        1          1          1          2          4          5.2631577        9.9999969        0.44999998       0.001            1.0204082e-05    0.010204082     
 1          19         11.700655        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          19         11.700655        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          19         11.700655        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          19         11.700655        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          19         11.700655        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          19         11.700655        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          20         12.668826        1          1          1          2          1          5.2182493        9.1630508        0.44526667       0.001            1.0274349e-05    0.010274349     
 1          20         12.668826        1          1          1          2          2          5.2621094        9.9804774        0.44989042       0.001            1.0205708e-05    0.010205708     
 1          20         12.668826        1          1          1          2          3          5.2631407        9.9996796        0.4499982        0.001            1.0204108e-05    0.010204108     
 1          20         12.668826        1          1          1          2          4          5.2631577        9.9999959        0.44999998       0.001            1.0204082e-05    0.010204082     
 1          20         12.668826        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          20         12.668826        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          20         12.668826        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          20         12.668826        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          20         12.668826        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          20         12.668826        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          21         13.685405        1          1          1          2          1          5.2149031        9.1006297        0.44491071       0.001            1.0279635e-05    0.010279635     
 1          21         13.685405        1          1          1          2          2          5.2619444        9.9774038        0.44987316       0.001            1.0205964e-05    0.010205964     
 1          21         13.685405        1          1          1          2          3          5.2631365        9.9996012        0.44999776       0.001            1.0204115e-05    0.010204115     
 1          21         13.685405        1          1          1          2          4          5.2631576        9.9999945        0.44999997       0.001            1.0204082e-05    0.010204082     
 1          21         13.685405        1          1          1          2          5          5.2631579        9.9999999        0.45             0.001            1.0204082e-05    0.010204082     
 1          21         13.685405        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          21         13.685405        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          21         13.685405        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          21         13.685405        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          21         13.685405        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          22         14.752814        1          1          1          2          1          5.2114283        9.0358017        0.4445406        0.001            1.0285131e-05    0.010285131     
 1          22         14.752814        1          1          1          2          2          5.2617593        9.9739574        0.44985381       0.001            1.0206251e-05    0.010206251     
 1          22         14.752814        1          1          1          2          3          5.2631314        9.9995065        0.44999723       0.001            1.0204123e-05    0.010204123     
 1          22         14.752814        1          1          1          2          4          5.2631575        9.9999927        0.44999996       0.001            1.0204082e-05    0.010204082     
 1          22         14.752814        1          1          1          2          5          5.2631579        9.9999999        0.45             0.001            1.0204082e-05    0.010204082     
 1          22         14.752814        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          22         14.752814        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          22         14.752814        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          22         14.752814        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          22         14.752814        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          23         15.873592        1          1          1          2          1          5.2078219        8.9685099        0.44415595       0.001            1.0290843e-05    0.010290843     
 1          23         15.873592        1          1          1          2          2          5.2615522        9.9701019        0.44983216       0.001            1.0206573e-05    0.010206573     
 1          23         15.873592        1          1          1          2          3          5.2631253        9.9993928        0.44999659       0.001            1.0204132e-05    0.010204132     
 1          23         15.873592        1          1          1          2          4          5.2631574        9.9999903        0.44999995       0.001            1.0204082e-05    0.010204082     
 1          23         15.873592        1          1          1          2          5          5.2631579        9.9999999        0.45             0.001            1.0204082e-05    0.010204082     
 1          23         15.873592        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          23         15.873592        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          23         15.873592        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          23         15.873592        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
